./figures/train
Iterate [249]: time: 48.6365, d_loss: 1.37769890, g_loss: 3.67617297, flux: 0.00079776
Iterate [250]: time: 48.8169, d_loss: 1.22873962, g_loss: 5.97500229, flux: 0.00076767
Iterate [251]: time: 48.9973, d_loss: 0.91057003, g_loss: 8.79942989, flux: 0.00059590
Iterate [252]: time: 49.1783, d_loss: 1.07736742, g_loss: 3.43281960, flux: 0.00093425
Iterate [253]: time: 49.3588, d_loss: 1.02430820, g_loss: 4.79417086, flux: 0.00131100
Iterate [254]: time: 49.5396, d_loss: 1.31200647, g_loss: 5.17711639, flux: 0.00126762
Iterate [255]: time: 49.7200, d_loss: 1.01858807, g_loss: 3.75613785, flux: 0.00109073
Iterate [256]: time: 49.9001, d_loss: 1.21459067, g_loss: 4.40403271, flux: 0.00103361
Iterate [257]: time: 50.0805, d_loss: 1.43525922, g_loss: 3.67025614, flux: 0.00114472
Iterate [258]: time: 50.2620, d_loss: 0.91029823, g_loss: 3.78821468, flux: 0.00096258
Iterate [259]: time: 50.4436, d_loss: 0.72940516, g_loss: 6.20247984, flux: 0.00119219
Iterate [260]: time: 50.6249, d_loss: 0.95985746, g_loss: 3.88060474, flux: 0.00100771
Iterate [261]: time: 50.8054, d_loss: 0.78168917, g_loss: 6.03541183, flux: 0.00071033
Iterate [262]: time: 50.9857, d_loss: 0.76789606, g_loss: 4.46862364, flux: 0.00096111
Iterate [263]: time: 51.1666, d_loss: 0.77672666, g_loss: 4.60700274, flux: 0.00079054
Iterate [264]: time: 51.3472, d_loss: 1.21670175, g_loss: 4.28308964, flux: 0.00085884
Iterate [265]: time: 51.5276, d_loss: 1.87307441, g_loss: 5.01374006, flux: 0.00075537
Iterate [266]: time: 51.7080, d_loss: 1.36397350, g_loss: 3.81979680, flux: 0.00080686
Iterate [267]: time: 51.8885, d_loss: 1.90166497, g_loss: 3.84714675, flux: 0.00065336
Iterate [268]: time: 52.0691, d_loss: 1.21083021, g_loss: 3.84945917, flux: 0.00054203
Iterate [269]: time: 52.2498, d_loss: 1.02692127, g_loss: 4.04684591, flux: 0.00062332
Iterate [270]: time: 52.4301, d_loss: 1.61545801, g_loss: 4.18243408, flux: 0.00051128
Iterate [271]: time: 52.6114, d_loss: 1.50381875, g_loss: 2.93927050, flux: 0.00051294
Iterate [272]: time: 52.7924, d_loss: 0.95382869, g_loss: 3.64212394, flux: 0.00062612
Iterate [273]: time: 52.9726, d_loss: 0.92098546, g_loss: 4.50962257, flux: 0.00056984
Iterate [274]: time: 53.1532, d_loss: 1.02658868, g_loss: 9.29422665, flux: 0.00040099
Iterate [275]: time: 53.3333, d_loss: 1.18257332, g_loss: 4.76253033, flux: 0.00029947
Iterate [276]: time: 53.5142, d_loss: 1.09176362, g_loss: 3.38456678, flux: 0.00064139
Iterate [277]: time: 53.6947, d_loss: 1.28758693, g_loss: 4.53025150, flux: 0.00066627
Iterate [278]: time: 53.8751, d_loss: 1.19423842, g_loss: 4.14375114, flux: 0.00070669
Iterate [279]: time: 54.0558, d_loss: 1.21852684, g_loss: 4.69343519, flux: 0.00063998
