Iterate [273]: time: 53.9188, d_loss: 1.37108934, g_loss: 5.02102947
Iterate [274]: time: 54.1026, d_loss: 1.35129738, g_loss: 4.34605837
Iterate [275]: time: 54.2868, d_loss: 1.25437665, g_loss: 7.49227047
Iterate [276]: time: 54.4705, d_loss: 1.52512288, g_loss: 5.89867687
Iterate [277]: time: 54.6549, d_loss: 1.39572096, g_loss: 5.68340111
Iterate [278]: time: 54.8389, d_loss: 1.78938174, g_loss: 8.35428524
Iterate [279]: time: 55.0227, d_loss: 1.52775061, g_loss: 13.53322029
Iterate [280]: time: 55.2071, d_loss: 1.52003407, g_loss: 10.18603230
Iterate [281]: time: 55.3913, d_loss: 1.75352299, g_loss: 6.62571907
Iterate [282]: time: 55.5762, d_loss: 1.52817249, g_loss: 7.77505922
Iterate [283]: time: 55.7599, d_loss: 1.45744503, g_loss: 5.48311234
Iterate [284]: time: 55.9440, d_loss: 1.33735251, g_loss: 11.89655972
Iterate [285]: time: 56.1283, d_loss: 1.62349606, g_loss: 20.23877525
Iterate [286]: time: 56.3122, d_loss: 1.67329872, g_loss: 7.45966148
Iterate [287]: time: 56.4967, d_loss: 1.36691344, g_loss: 6.24922466
Iterate [288]: time: 56.6807, d_loss: 1.33620882, g_loss: 8.78865814
Iterate [289]: time: 56.8651, d_loss: 2.31553721, g_loss: 9.39596081
Iterate [290]: time: 57.0491, d_loss: 1.34020877, g_loss: 8.01835060
Iterate [291]: time: 57.2332, d_loss: 1.42801797, g_loss: 5.48205948
Iterate [292]: time: 57.4176, d_loss: 1.26966739, g_loss: 16.55620193
Iterate [293]: time: 57.6035, d_loss: 1.49310327, g_loss: 5.42305613
Iterate [294]: time: 57.7879, d_loss: 1.30634296, g_loss: 4.48503923
Iterate [295]: time: 57.9718, d_loss: 1.38851857, g_loss: 10.05176163
Iterate [296]: time: 58.1558, d_loss: 1.39427292, g_loss: 9.30678082
Iterate [297]: time: 58.3401, d_loss: 1.50965214, g_loss: 6.51903248
Iterate [298]: time: 58.5244, d_loss: 1.26489663, g_loss: 7.60172749
Iterate [299]: time: 58.7084, d_loss: 1.37847948, g_loss: 6.02508879
Iterate [300]: time: 58.8929, d_loss: 1.41333449, g_loss: 4.68592405
Iterate [301]: time: 59.0773, d_loss: 1.47225285, g_loss: 6.84861517
Iterate [302]: time: 59.2612, d_loss: 1.43306255, g_loss: 9.61871624
Iterate [303]: time: 59.4452, d_loss: 1.06674755, g_loss: 6.28055477
Iterate [304]: time: 59.6296, d_loss: 1.15510952, g_loss: 34.11703873
Iterate [305]: time: 59.8139, d_loss: 1.29555094, g_loss: 5.91587400
Iterate [306]: time: 59.9981, d_loss: 1.35537457, g_loss: 9.01127625
Iterate [307]: time: 60.1822, d_loss: 1.38865685, g_loss: 6.17687273
Iterate [308]: time: 60.3665, d_loss: 1.38870251, g_loss: 5.68355131
Iterate [309]: time: 60.5502, d_loss: 1.13556254, g_loss: 6.21591663
Iterate [310]: time: 60.7345, d_loss: 1.31797409, g_loss: 5.72928715
Iterate [311]: time: 60.9193, d_loss: 1.48517776, g_loss: 7.08565331
Iterate [312]: time: 61.1030, d_loss: 1.17660105, g_loss: 9.07114792
Iterate [313]: time: 61.2873, d_loss: 1.80596876, g_loss: 6.32026625
Iterate [314]: time: 61.4713, d_loss: 1.28420162, g_loss: 4.40864325
Iterate [315]: time: 61.6556, d_loss: 1.33018255, g_loss: 9.87671852
Iterate [316]: time: 61.8411, d_loss: 1.38332856, g_loss: 8.64125061
Iterate [317]: time: 62.0248, d_loss: 1.29309344, g_loss: 5.26401758
Iterate [318]: time: 62.2091, d_loss: 1.20836484, g_loss: 7.68231392
Iterate [319]: time: 62.3931, d_loss: 1.00588977, g_loss: 27.27607536
Iterate [320]: time: 62.5772, d_loss: 1.42954719, g_loss: 4.75709438
Iterate [321]: time: 62.7617, d_loss: 1.07249582, g_loss: 5.44453239
Iterate [322]: time: 62.9459, d_loss: 1.35421026, g_loss: 5.64117527
Iterate [323]: time: 63.1301, d_loss: 1.29671192, g_loss: 6.27624035
Iterate [324]: time: 63.3141, d_loss: 1.18374443, g_loss: 4.75636101
Iterate [325]: time: 63.4985, d_loss: 1.40221822, g_loss: 5.23557854
Iterate [326]: time: 63.6828, d_loss: 1.17325544, g_loss: 9.14496422
Iterate [327]: time: 63.8678, d_loss: 1.32409418, g_loss: 7.94478321
Iterate [328]: time: 64.0519, d_loss: 1.43486428, g_loss: 7.04504728
Iterate [329]: time: 64.2356, d_loss: 1.29610503, g_loss: 6.43880177
Iterate [330]: time: 64.4198, d_loss: 1.35065031, g_loss: 7.84630203
Iterate [331]: time: 64.6043, d_loss: 1.23421609, g_loss: 9.23251534
Iterate [332]: time: 64.7884, d_loss: 1.15523171, g_loss: 5.66568661
